publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Diversity Index, The	9780814416495		2011-08-29			2011-08-29			http://my.safaribooksonline.com/9780814416495?tocview=true		9780814416495		ebook		AMACOM					Safari Tech Books Online	safari.tech	6947201		753969715	raw
Getting Started with the McDATA Intrepid FICON Director	9780738428420		2003-04-04			2003-04-04			http://my.safaribooksonline.com/0738428426?tocview=true		0738428426		ebook		IBM Redbooks					Safari Tech Books Online	safari.tech	11849333		137342223	raw
Skinning Spark Components in Flex Applications	9781449305727		2011-02-03			2011-02-03			http://my.safaribooksonline.com/9781449305727?tocview=true		9781449305727		ebook		O'Reilly Media, Inc. - O'Reilly Media					Safari Tech Books Online	safari.tech	6027149			raw
Clojure High Performance Programming	9781782165606		2013-11-20			2013-11-20			http://my.safaribooksonline.com/9781782165606?tocview=true		9781782165606		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	16326724		863824720	raw
Thoughtfully Ruthless	9781119222576		2016-04-25			2016-04-25			http://my.safaribooksonline.com/9781119222576?tocview=true		9781119222576		ebook		John Wiley & Sons					Safari Tech Books Online	safari.tech	26604872		947837987	raw
Team Coordination in Extreme Environments	9781848219137		2016-01-19			2016-01-19			http://my.safaribooksonline.com/9781848219137?tocview=true		9781848219137		ebook		John Wiley & Sons					Safari Tech Books Online	safari.tech	26092401		933250713	raw
OtherWise	9780814417522		2012-06-27			2012-06-27			http://my.safaribooksonline.com/9780814417522?tocview=true		9780814417522		ebook		AMACOM					Safari Tech Books Online	safari.tech	9329257		793996638	raw
My Windows® Phone 8	9780133157130		2013-05-01			2013-05-01			http://my.safaribooksonline.com/9780133157130?tocview=true		9780133157130		ebook		Que					Safari Tech Books Online	safari.tech	14459409		850705701	raw
Options, Futures, and Other Derivatives, Ninth Edition	9780133456318		2014-01-15			2014-01-15			http://my.safaribooksonline.com/9780133456318?tocview=true		9780133456318		ebook		Pearson					Safari Tech Books Online	safari.tech	51018350		1009059124	raw
Lean UX: Designing Great Products with Agile Teams	9781491983690		2017-05-16			2017-05-16			http://my.safaribooksonline.com/9781491983690?tocview=true		9781491983690		ebook		O'Reilly Media, Inc.					Safari Tech Books Online	safari.tech	34878637		958879414	raw
Hands-On Reactive Programming with Java 12	9781789808773		2019-03-30			2019-03-30			http://my.safaribooksonline.com/9781789808773?tocview=true		9781789808773		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	50264536			raw
Modern DevOps in Practice	9781789138030		2019-03-05			2019-03-05			http://my.safaribooksonline.com/9781789138030?tocview=true		9781789138030		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	44179215			raw
End-to-End DSL Architectures	9781587050879		2003-04-02			2003-04-02			http://my.safaribooksonline.com/1587050870?tocview=true		1587050870		ebook		Cisco Press					Safari Tech Books Online	safari.tech	2688194		320899992	raw
Magento 2 Cookbook	9781785887062		2016-03-28			2016-03-28			http://my.safaribooksonline.com/9781785887062?tocview=true		9781785887062		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	25791680		945751323	raw
TAB Guide to DIY Welding, The	9780071799683		2013-05-06			2013-05-06			http://my.safaribooksonline.com/9780071799683?tocview=true		9780071799683		ebook		McGraw-Hill Education TAB					Safari Tech Books Online	safari.tech	14839321		857498014	raw
Beginning Sensor Networks with Arduino and Raspberry Pi	9781430258247		2013-11-20			2013-11-20			http://my.safaribooksonline.com/9781430258247?tocview=true		9781430258247		ebook		Apress					Safari Tech Books Online	safari.tech	16523411		869745424	raw
ROS Robotics Projects	9781783554713		2017-03-31			2017-03-31			http://my.safaribooksonline.com/9781783554713?tocview=true		9781783554713		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	34521165			raw
Microsoft® Office Professional 2010 Step by Step	9780735647800		2010-08-25			2010-08-25			http://my.safaribooksonline.com/9780735647800?tocview=true		9780735647800		ebook		Microsoft Press					Safari Tech Books Online	safari.tech	4652862		667608221	raw
Liar's Ball: The Extraordinary Saga of How One Building Broke the World's Toughest Tycoons, The	9781118421512		2014-10-27			2014-10-27			http://my.safaribooksonline.com/9781118421512?tocview=true		9781118421512		ebook		John Wiley & Sons					Safari Tech Books Online	safari.tech	20845139		892799352	raw
Learning React Reusable Components	9781787124981		2016-10-25			2016-10-25			http://my.safaribooksonline.com/9781787124981?tocview=true		9781787124981		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	29201305			raw
Adobe InDesign CS6: Beginner	9781618660794		2017-01-05			2017-01-05			http://my.safaribooksonline.com/9781618660794?tocview=true		9781618660794		ebook		Virtual Training Company, Inc.					Safari Tech Books Online	safari.tech	17322764			raw
Beginning Android 3	9781430232971		2011-07-05			2011-07-05			http://my.safaribooksonline.com/9781430232971?tocview=true		9781430232971		ebook		Apress					Safari Tech Books Online	safari.tech	6709823		747193004	raw
Learn JavaScript™In a Weekend®									http://my.safaribooksonline.com/159200086X?tocview=true		159200086X		ebook		Premier Press					Safari Tech Books Online	safari.tech	1886184			raw
Microsoft® Exchange Server 2003 Unleashed			2003-12-18			2003-12-18			http://my.safaribooksonline.com/0672325810?tocview=true		0672325810		ebook		Sams					Safari Tech Books Online	safari.tech	1884262		62308699	raw
z/OS Management Facility	9780738435800		2011-07-22			2011-07-22			http://my.safaribooksonline.com/0738435805?tocview=true		0738435805		ebook		IBM Redbooks					Safari Tech Books Online	safari.tech	6736521		754635867	raw
Roles of Various Financial Institutions, The	9780132178884		2010-06-07			2010-06-07			http://my.safaribooksonline.com/9780132178884?tocview=true		9780132178884		ebook		FT Press					Safari Tech Books Online	safari.tech	3409017		654812061	raw
Practical Data Analysis with JMP, Second Edition, 2nd Edition	9781612908236		2014-07-01			2014-07-01			http://my.safaribooksonline.com/9781612908236?tocview=true		9781612908236		ebook		SAS Institute					Safari Tech Books Online	safari.tech	18860601		900320039	raw
Make: Lego and Arduino Projects	9781449324902		2012-11-30			2012-11-30			http://my.safaribooksonline.com/9781449324902?tocview=true		9781449324902		ebook		O'Reilly Media, Inc. - O'Reilly Media: Make					Safari Tech Books Online	safari.tech	12972840		825076501	raw
Professional C# 2012 and .NET 4.5	9781118332122		2012-11-06			2012-11-06			http://my.safaribooksonline.com/9781118332122?tocview=true		9781118332122		ebook		Wrox					Safari Tech Books Online	safari.tech	13183399		827276238	raw
Rapid Organizational Change	9781119219033		2017-08-14			2017-08-14			http://my.safaribooksonline.com/9781119219033?tocview=true		9781119219033		ebook		John Wiley & Sons					Safari Tech Books Online	safari.tech	35457993		971248751	raw
Windows 10 auf einen Blick	9781492066170		2015-12-02			2015-12-02			http://my.safaribooksonline.com/9781492066170?tocview=true		9781492066170		ebook		dpunkt					Safari Tech Books Online	safari.tech	38553499		1007083430	raw
Definitive Guide to Order Fulfillment and Customer Service: Principles and Strategies for Planning, Organizing, and Managing Fulfillment and Service Operations, The	9780133453881		2014-01-27			2014-01-27			http://my.safaribooksonline.com/9780133453881?tocview=true		9780133453881		ebook		Pearson					Safari Tech Books Online	safari.tech	15774681		869214398	raw
Rethinking Leadership			2015-07-01			2015-07-01			http://my.safaribooksonline.com/53863MIT56414?tocview=true		53863MIT56414		ebook		MIT Sloan Management Review					Safari Tech Books Online	safari.tech	25553805		664572567	raw
Practical Data Science Cookbook - Second Edition	9781787129627		2017-06-29			2017-06-29			http://my.safaribooksonline.com/9781787129627?tocview=true		9781787129627		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	35388371		993095709	raw
Routledge Companion to Employment Relations, The	9781317434870		2018-05-11			2018-05-11			http://my.safaribooksonline.com/9781317434870?tocview=true		9781317434870		ebook		Routledge					Safari Tech Books Online	safari.tech	40129525			raw
Winning from Within - A Breakthrough Method for Leading, Living, and Lasting Change	9780062213037		2013-09-24			2013-09-24			http://my.safaribooksonline.com/9780062213037?tocview=true		9780062213037		ebook		HarperCollins					Safari Tech Books Online	safari.tech	25514183		876375780	raw
Bien écrire au travail	9782212146370		2011-07-07			2011-07-07			http://my.safaribooksonline.com/9782212146370?tocview=true		9782212146370		ebook		Editions d'Organisation					Safari Tech Books Online	safari.tech	14283223		900464430	raw
Advanced .NET Debugging	9780321584090		2009-11-09			2009-11-09			http://my.safaribooksonline.com/9780321584090?tocview=true		9780321584090		ebook		Addison-Wesley Professional					Safari Tech Books Online	safari.tech	2688253		618016069	raw
Java Thread Programming			1999-08-20			1999-08-20			http://my.safaribooksonline.com/0672315858?tocview=true		0672315858		ebook		Sams					Safari Tech Books Online	safari.tech	1884012		243510902	raw
Microsoft Windows Server 2012 R2 - Das Handbuch (Buch + E-Book)	9783848340705		2013-12-18			2013-12-18			http://my.safaribooksonline.com/9783848340705?tocview=true		9783848340705		ebook		Microsoft Press Deutschland					Safari Tech Books Online	safari.tech	16523727		900317741	raw
Leaders without Titles	9781599962504								http://my.safaribooksonline.com/9781599962504?tocview=true		9781599962504		ebook		HRD Press					Safari Tech Books Online	safari.tech	6947368		768490507	raw
Hands-On Mobile App Testing: A Guide for Mobile Testers and Anyone Involved in the Mobile App Business	9780134191829		2015-05-18			2015-05-18			http://my.safaribooksonline.com/9780134191829?tocview=true		9780134191829		ebook		Addison-Wesley Professional					Safari Tech Books Online	safari.tech	21675967		910938060	raw
Master Python Interactively With PyGame: Ultimate Bootcamp			2017-12-30			2017-12-30			http://my.safaribooksonline.com/200000006A0420?tocview=true		200000006A0420		ebook		Stone River eLearning					Safari Tech Books Online	safari.tech	37938780			raw
PHP Advanced and Object-Oriented Programming: Visual Quickpro Guide, Third Edition	9780133057874		2012-09-13			2012-09-13			http://my.safaribooksonline.com/9780133057874?tocview=true		9780133057874		ebook		Peachpit Press					Safari Tech Books Online	safari.tech	11128126		827797133	raw
Stress-Free Performance Appraisals	9781564146861		2003-07-01			2003-07-01			http://my.safaribooksonline.com/9781564146861?tocview=true		9781564146861		ebook		Career Press					Safari Tech Books Online	safari.tech	3230753		53093491	raw
Managing Business Ethics: Straight Talk about How to Do It Right, 6th Edition	9781118582671		2013-11-18			2013-11-18			http://my.safaribooksonline.com/9781118582671?tocview=true		9781118582671		ebook		John Wiley & Sons					Safari Tech Books Online	safari.tech	19264601		894046994	raw
Java 11 Quick Start	9781789133271		2018-10-09			2018-10-09			http://my.safaribooksonline.com/9781789133271?tocview=true		9781789133271		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	50666777		1103264712	raw
Xcelsius® 2008 Dashboard Best Practices	9780768685800		2008-12-22			2008-12-22			http://my.safaribooksonline.com/9780768685800?tocview=true		9780768685800		ebook		Sams					Safari Tech Books Online	safari.tech	1958871		319430689	raw
Making Things Talk, 2nd Edition	9781449314668		2011-09-19			2011-09-19			http://my.safaribooksonline.com/9781449314668?tocview=true		9781449314668		ebook		O'Reilly Media, Inc. - O'Reilly Media: Make					Safari Tech Books Online	safari.tech	7068429		803521006	raw
Certified Macromedia® Flash™ MX Designer Study Guide			2002-11-21			2002-11-21			http://my.safaribooksonline.com/0321126955?tocview=true		0321126955		ebook		Macromedia Press					Safari Tech Books Online	safari.tech	1882619		54116461	raw
Mastering Clojure Macros	9781941222768		2014-08-26			2014-08-26			http://my.safaribooksonline.com/9781941222768?tocview=true		9781941222768		ebook		Pragmatic Bookshelf					Safari Tech Books Online	safari.tech	19264815		900317622	raw
Microsoft® Windows® Internals: Microsoft Windows Server™ 2003, Windows XP, and Windows 2000, 4th Edition	9780735619173		2004-12-29			2004-12-29			http://my.safaribooksonline.com/0735619174?tocview=true		0735619174		ebook		Microsoft Press					Safari Tech Books Online	safari.tech	1884545		61455115	raw
Why Certain Things Go Viral			2016-01-11			2016-01-11			http://my.safaribooksonline.com/32562HBRHV1253?tocview=true		32562HBRHV1253		ebook		Harvard Business Review					Safari Tech Books Online	safari.tech	25203164			raw
Der gezähmte Diktator	9783110518641		2017-06-12			2017-06-12			http://my.safaribooksonline.com/9783110518641?tocview=true		9783110518641		ebook		De Gruyter Oldenbourg					Safari Tech Books Online	safari.tech	35205942			raw
Econometrics For Dummies	9781118533871		2013-06-24			2013-06-24			http://my.safaribooksonline.com/9781118533871?tocview=true		9781118533871		ebook		For Dummies					Safari Tech Books Online	safari.tech	15377325		849751288	raw
Building RESTful APIs with Go	9781789614992		2018-12-31			2018-12-31			http://my.safaribooksonline.com/9781789614992?tocview=true		9781789614992		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	40829910			raw
New Ways of Running Batch Applications on z/OS: Volume 1 CICS Transaction Server	9780738437941		2013-10-31			2013-10-31			http://my.safaribooksonline.com/0738437948?tocview=true		0738437948		ebook		IBM Redbooks					Safari Tech Books Online	safari.tech	16523146		870676343	raw
Building Java Enterprise Applications Volume I: Architecture			2002-03-21			2002-03-21			http://my.safaribooksonline.com/0596001231?tocview=true		0596001231		ebook		O'Reilly Media, Inc. - O'Reilly Media					Safari Tech Books Online	safari.tech	1883284		427450645	raw
JavaScript: The Definitive Guide, 7th Edition	9781491952016		2020-07-25			2020-07-25			http://my.safaribooksonline.com/9781491952016?tocview=true		9781491952016		ebook		O'Reilly Media, Inc.					Safari Tech Books Online	safari.tech	50493513		1103581709	raw
Winning Habits	9788131710289		2008-05-03			2008-05-03			http://my.safaribooksonline.com/9788131710289?tocview=true		9788131710289		ebook		Pearson India					Safari Tech Books Online	safari.tech	8709217		785648320	raw
Adobe Premiere Pro CC Classroom in a Book (2019 Release), First Edition	9780135299937		2019-02-15			2019-02-15			http://my.safaribooksonline.com/9780135299937?tocview=true		9780135299937		ebook		Adobe Press					Safari Tech Books Online	safari.tech	41099390			raw
ASP.NET Evolution	9780672326479		2004-05-19			2004-05-19			http://my.safaribooksonline.com/0672326477?tocview=true		0672326477		ebook		Sams					Safari Tech Books Online	safari.tech	1884300		59757900	raw
A Brief Look at Some Businesses Based on Shared Social Experience	9780132102711		2010-04-30			2010-04-30			http://my.safaribooksonline.com/9780132102711?tocview=true		9780132102711		ebook		FT Press					Safari Tech Books Online	safari.tech	3364993		646140112	raw
Economic Systems Analysis and Assessment: Intensive Systems, Organizations, and Enterprises	9781118015483		2011-05-24			2011-05-24			http://my.safaribooksonline.com/9781118015483?tocview=true		9781118015483		ebook		Wiley-Interscience					Safari Tech Books Online	safari.tech	13183325		715183157	raw
Angular JS: Moderne Webanwendungen und Single Page Applications mit JavaScript	9783955619534		2015-03-03			2015-03-03			http://my.safaribooksonline.com/9783955619534?tocview=true		9783955619534		ebook		O'Reilly Verlag					Safari Tech Books Online	safari.tech	21922080		909058375	raw
Maya® Studio Projects: Photorealistic Characters	9780470944974		2011-05-17			2011-05-17			http://my.safaribooksonline.com/9780470944974?tocview=true		9780470944974		ebook		Sybex					Safari Tech Books Online	safari.tech	6947137		803431035	raw
Linux Multimedia Hacks	9780596100766		2005-11-17			2005-11-17			http://my.safaribooksonline.com/0596100760?tocview=true		0596100760		ebook		O'Reilly Media, Inc. - O'Reilly Media					Safari Tech Books Online	safari.tech	1883822		64549796	raw
Statistics for Business	9780750686600		2010-05-14			2010-05-14			http://my.safaribooksonline.com/9780750686600?tocview=true		9780750686600		ebook		Routledge					Safari Tech Books Online	safari.tech	14839574		857920420	raw
Maker Movement Manifesto: Rules for Innovation in the New World of Crafters, Hackers, and Tinkerers, The	9780071821124		2013-09-04			2013-09-04			http://my.safaribooksonline.com/9780071821124?tocview=true		9780071821124		ebook		McGraw-Hill					Safari Tech Books Online	safari.tech	15774617		864438999	raw
Open Source Identity Management Patterns and Practices Using OpenAM 10.x	9781782166825		2013-08-26			2013-08-26			http://my.safaribooksonline.com/9781782166825?tocview=true		9781782166825		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	15377826		857713040	raw
PostgreSQL Administration Cookbook, 9.5/9.6 Edition	9781785883187		2017-04-27			2017-04-27			http://my.safaribooksonline.com/9781785883187?tocview=true		9781785883187		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	34852254		987331243	raw
IBM Flex System Products and Technology for Power Systems	9780738440293		2014-12-10			2014-12-10			http://my.safaribooksonline.com/0738440299?tocview=true		0738440299		ebook		IBM Redbooks					Safari Tech Books Online	safari.tech	19959415		904715883	raw
Trend Trading Set-Ups: Entering and Exiting Trends for Maximum Profit	9781118236406		2012-10-09			2012-10-09			http://my.safaribooksonline.com/9781118236406?tocview=true		9781118236406		ebook		John Wiley & Sons					Safari Tech Books Online	safari.tech	13594327		794838549	raw
Using Windows® 8	9780133353297		2012-12-18			2012-12-18			http://my.safaribooksonline.com/9780133353297?tocview=true		9780133353297		ebook		Que					Safari Tech Books Online	safari.tech	12972590		826867426	raw
Bond Math: The Theory Behind the Formulas, + Website, 2nd Edition	9781118866368		2014-11-10			2014-11-10			http://my.safaribooksonline.com/9781118866368?tocview=true		9781118866368		ebook		Bloomberg Press					Safari Tech Books Online	safari.tech	20892593		880122593	raw
Plone 3 Theming	9781847193872		2009-07-17			2009-07-17			http://my.safaribooksonline.com/9781847193872?tocview=true		9781847193872		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	3331276		635504317	raw
Das PMP-Examen - Die gezielte Prüfungsvorbereitung	9783958452695		2016-11-21			2016-11-21			http://my.safaribooksonline.com/9783958452695?tocview=true		9783958452695		ebook		mitp Verlag					Safari Tech Books Online	safari.tech	29201321			raw
Customer Experience Edge: Technology and Techniques for Delivering an Enduring, Profitable and Positive Experience to Your Customers, The	9780071786973		2011-10-28			2011-10-28			http://my.safaribooksonline.com/9780071786973?tocview=true		9780071786973		ebook		McGraw-Hill					Safari Tech Books Online	safari.tech	11127934		779095167	raw
Experience Design: A Framework for Integrating Brand, Experience, and Value	9781118728390		2013-08-26			2013-08-26			http://my.safaribooksonline.com/9781118728390?tocview=true		9781118728390		ebook		John Wiley & Sons					Safari Tech Books Online	safari.tech	16326434		841187086	raw
ADOBE® FLEX® 3: PROGRAMMING ACTIONSCRIPT™ 3.0			2008-01-01			2008-01-01			http://my.safaribooksonline.com/00120090008SI?tocview=true		00120090008SI		ebook		Adobe Systems					Safari Tech Books Online	safari.tech	2730718		428740681	raw
Mobile Application Penetration Testing	9781785883378		2016-03-11			2016-03-11			http://my.safaribooksonline.com/9781785883378?tocview=true		9781785883378		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	25695764		945741125	raw
Learn Excel 2011 for Mac	9781430235217		2011-03-23			2011-03-23			http://my.safaribooksonline.com/9781430235217?tocview=true		9781430235217		ebook		Apress					Safari Tech Books Online	safari.tech	6027139		747103939	raw
Oracle Database 10g Express Edition PHP Web Programming	9780072263251		2006-10-06			2006-10-06			http://my.safaribooksonline.com/9780072263251?tocview=true		9780072263251		ebook		Oracle Press					Safari Tech Books Online	safari.tech	5383823		263342358	raw
Learning C# by Developing Games with Unity	9781788628778		2018-01-31			2018-01-31			http://my.safaribooksonline.com/9781788628778?tocview=true		9781788628778		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	38553547			raw
Studying and Designing Technology for Domestic Life	9780128005552		2014-09-26			2014-09-26			http://my.safaribooksonline.com/9780128005552?tocview=true		9780128005552		ebook		Morgan Kaufmann					Safari Tech Books Online	safari.tech	19412241		893674509	raw
Performance Modeling, Loss Networks, and Statistical Multiplexing	9781608450763		2009-12-08			2009-12-08			http://my.safaribooksonline.com/9781608450763?tocview=true		9781608450763		ebook		Morgan & Claypool Publishers					Safari Tech Books Online	safari.tech	22163179		495479293	raw
Anti-Bubbles, The	9781631579837		2017-08-16			2017-08-16			http://my.safaribooksonline.com/9781631579837?tocview=true		9781631579837		ebook		Business Expert Press					Safari Tech Books Online	safari.tech	35808306		1001383264	raw
Cyber Security Awareness and Prevention			2017-09-30			2017-09-30			http://my.safaribooksonline.com/100000006A0604?tocview=true		100000006A0604		ebook		iCollege					Safari Tech Books Online	safari.tech	36860306			raw
Do It, Mean It, Be It	9781632651006		2017-07-24			2017-07-24			http://my.safaribooksonline.com/9781632651006?tocview=true		9781632651006		ebook		Career Press					Safari Tech Books Online	safari.tech	35355630			raw
Lightroom 3 Beta Power Session	9780132167772		2010-04-29			2010-04-29			http://my.safaribooksonline.com/9780132167772?tocview=true		9780132167772		ebook		Peachpit Press					Safari Tech Books Online	safari.tech	3365020			raw
Beginning ASP.NET 3.5: In C# and VB	9780470187593		2008-03-04			2008-03-04			http://my.safaribooksonline.com/9780470187593?tocview=true		9780470187593		ebook		Wrox					Safari Tech Books Online	safari.tech	5975543		233000157	raw
Evaluating E-Learning	9781562863005		2003-04-01			2003-04-01			http://my.safaribooksonline.com/1562863002?tocview=true		1562863002		ebook		American Society for Training & Development					Safari Tech Books Online	safari.tech	6530075		81926445	raw
What Every Angel Investor Wants You to Know: An Insider Reveals How to Get Smart Funding for Your Billion Dollar Idea	9780071800716		2013-03-26			2013-03-26			http://my.safaribooksonline.com/9780071800716?tocview=true		9780071800716		ebook		McGraw-Hill					Safari Tech Books Online	safari.tech	14459339		850704242	raw
Exam Ref 70-765 Provisioning SQL Databases, First Edition	9781509303847		2017-12-06			2017-12-06			http://my.safaribooksonline.com/9781509303847?tocview=true		9781509303847		ebook		Microsoft Press					Safari Tech Books Online	safari.tech	37695736			raw
3D Printing Primer	9781491975589		2015-04-15			2015-04-15			http://my.safaribooksonline.com/9781491975589?tocview=true		9781491975589		ebook		O'Reilly Media, Inc.					Safari Tech Books Online	safari.tech	28443641		972609642	raw
Quick Clojure: Effective Functional Programming	9781484229521		2017-08-23			2017-08-23			http://my.safaribooksonline.com/9781484229521?tocview=true		9781484229521		ebook		Apress					Safari Tech Books Online	safari.tech	40289485		1002204413	raw
Java 8 – Die Neuerungen, 2nd Edition	9781457195648		2015-08-10			2015-08-10			http://my.safaribooksonline.com/9781457195648?tocview=true		9781457195648		ebook		dpunkt					Safari Tech Books Online	safari.tech	22703438			raw
Introduction to GPUs for Data Analytics	9781491998045		2017-10-15			2017-10-15			http://my.safaribooksonline.com/9781491998045?tocview=true		9781491998045		ebook		O'Reilly Media, Inc.					Safari Tech Books Online	safari.tech	40400724			raw
.Mac with iWeb, Second Edition: Visual QuickStart Guide	9780321442284		2006-07-28			2006-07-28			http://my.safaribooksonline.com/0321442288?tocview=true		0321442288		ebook		Peachpit Press					Safari Tech Books Online	safari.tech	1883177		141188245	raw
How Can You Make Every Meeting More Productive?			2015-04-27			2015-04-27			http://my.safaribooksonline.com/4220594916001?tocview=true		4220594916001		ebook		Harvard Business Review					Safari Tech Books Online	safari.tech	24501867			raw
Stylin' with CSS: A Designer's Guide, Third Edition	9780133088359		2012-10-16			2012-10-16			http://my.safaribooksonline.com/9780133088359?tocview=true		9780133088359		ebook		New Riders					Safari Tech Books Online	safari.tech	11128134		822335934	raw
Deliver Audacious Web Apps with Ember 2	9781680501599		2015-10-13			2015-10-13			http://my.safaribooksonline.com/9781680501599?tocview=true		9781680501599		ebook		Pragmatic Bookshelf					Safari Tech Books Online	safari.tech	24417366			raw
Cisco CCNA Routing and Switching ICND2 200-101 Official Cert Guide	9780133363289		2013-05-14			2013-05-14			http://my.safaribooksonline.com/9780133363289?tocview=true		9780133363289		ebook		Cisco Press					Safari Tech Books Online	safari.tech	14282590		850699035	raw
Arduino Robot Bonanza	9780071782777		2013-04-19			2013-04-19			http://my.safaribooksonline.com/9780071782777?tocview=true		9780071782777		ebook		McGraw-Hill Education TAB					Safari Tech Books Online	safari.tech	14839318		857498013	raw
Advanced Analytics with R and Tableau	9781788993388		2017-12-27			2017-12-27			http://my.safaribooksonline.com/9781788993388?tocview=true		9781788993388		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	44119951		1003645597	raw
Sony Vegas Pro 12	9781618660855		2012-12-21			2012-12-21			http://my.safaribooksonline.com/9781618660855?tocview=true		9781618660855		ebook		Virtual Training Company, Inc.					Safari Tech Books Online	safari.tech	17460929			raw
Waite Group's Object-Oriented Programming in C++, Third Edition, The			1998-11-25			1998-11-25			http://my.safaribooksonline.com/157169160X?tocview=true		157169160X		ebook		Sams					Safari Tech Books Online	safari.tech	1885911			raw
Art of Purposeful Storytelling, The			2011-03-01			2011-03-01			http://my.safaribooksonline.com/32562HBRHV1114?tocview=true		32562HBRHV1114		ebook		Harvard Business Review					Safari Tech Books Online	safari.tech	22724059			raw
Java 9 Modularity	9781491954157		2017-09-15			2017-09-15			http://my.safaribooksonline.com/9781491954157?tocview=true		9781491954157		ebook		O'Reilly Media, Inc.					Safari Tech Books Online	safari.tech	27859358		1006968842	raw
Investing in SWFs: The Road to Pan-Asia	9780132609883		2010-09-13			2010-09-13			http://my.safaribooksonline.com/9780132609883?tocview=true		9780132609883		ebook		FT Press					Safari Tech Books Online	safari.tech	5099780		699811872	raw
Strata Data Conference - New York, NY 2018	9781492025856		2018-09-12			2018-09-12			http://my.safaribooksonline.com/9781492025856?tocview=true		9781492025856		ebook		O'Reilly Media, Inc.					Safari Tech Books Online	safari.tech	40040508			raw
Continuous Delivery for Mobile with fastlane	9781788398510		2018-02-28			2018-02-28			http://my.safaribooksonline.com/9781788398510?tocview=true		9781788398510		ebook		Packt Publishing					Safari Tech Books Online	safari.tech	38793897			raw
Roll! Shooting TV News	9780240808482		2007-06-19			2007-06-19			http://my.safaribooksonline.com/9780240808482?tocview=true		9780240808482		ebook		Focal Press					Safari Tech Books Online	safari.tech	15312941		499055695	raw
Netzwerksicherheit für Dummies	9783527700585		2003-04-01			2003-04-01			http://my.safaribooksonline.com/9783527700585?tocview=true		9783527700585		ebook		für Dummies					Safari Tech Books Online	safari.tech	9027870		852466669	raw
Search Engine Optimization: Your visual blueprint™ for effective Internet marketing	9780470224489		2008-04-07			2008-04-07			http://my.safaribooksonline.com/9780470224489?tocview=true		9780470224489		ebook		Visual					Safari Tech Books Online	safari.tech	2716115			raw
365 Habits of Successful Graphic Designers: Insider Secrets from Top Designers on Working Smart and Staying Creative	9781592537372		2011-11-01			2011-11-01			http://my.safaribooksonline.com/9781592537372?tocview=true		9781592537372		ebook		Rockport Publishers					Safari Tech Books Online	safari.tech	8709009		782912132	raw
Exploring the Complexity of Projects: Implications of Complexity Theory for Project Management Practice	9781628251296		2009-05-14			2009-05-14			http://my.safaribooksonline.com/9781628251296?tocview=true		9781628251296		ebook		Project Management Institute					Safari Tech Books Online	safari.tech	26057117		726828261	raw
Just Enough C/C++ Programming	9781598634686		2007-11-12			2007-11-12			http://my.safaribooksonline.com/9781598634686?tocview=true		9781598634686		ebook		Course Technology PTR					Safari Tech Books Online	safari.tech	2656648		298787911	raw
Trends Are an Investor's Best Friend	9780132466929		2010-02-01			2010-02-01			http://my.safaribooksonline.com/9780132466929?tocview=true		9780132466929		ebook		FT Press					Safari Tech Books Online	safari.tech	3318447		601901606	raw
Big-Data Analytics for Cloud, IoT and Cognitive Computing	9781119247029		2017-05-15			2017-05-15			http://my.safaribooksonline.com/9781119247029?tocview=true		9781119247029		ebook		John Wiley & Sons					Safari Tech Books Online	safari.tech	34852118		968246512	raw
Leadership in Action: Wired to Inspire - Leading Organizations Through Adversity	9781604913446		2004-06-01			2004-06-01			http://my.safaribooksonline.com/9781604913446?tocview=true		9781604913446		ebook		Center for Creative Leadership - CCL Press					Safari Tech Books Online	safari.tech	14283074			raw
Corporate Governance in the Aftermath of the Global Financial Crisis, Volume I	9781606493595		2018-03-28			2018-03-28			http://my.safaribooksonline.com/9781606493595?tocview=true		9781606493595		ebook		Business Expert Press					Safari Tech Books Online	safari.tech	39029417		1030039344	raw
Broadcast News Writing, Reporting, and Producing, 4th Edition	9780240806594		2005-02-25			2005-02-25			http://my.safaribooksonline.com/9780240806594?tocview=true		9780240806594		ebook		Focal Press					Safari Tech Books Online	safari.tech	15312904		173807099	raw
